tipo,sensacion,palabra,n
comercial,tactil,boca,25
experto,tactil,astringencia,25
comercial,tactil,vino,21
consumidores,tactil,vino,18
experto,tactil,boca,18
experto,tactil,sensación,16
experto,tactil,volumen,16
comercial,tactil,sensación,15
consumidores,boca,sabor,13
comercial,tactil,astringencia,13
comercial,boca,fruta,13
comercial,boca,vino,13
experto,tactil,vino,13
experto,boca,boca,13
comercial,boca,acidez,12
comercial,boca,boca,12
comercial,boca,largo,12
experto,boca,suave,11
experto,boca,volumen,11
consumidores,tactil,boca,10
comercial,tactil,paso,10
experto,boca,madera,10
experto,boca,taninos,10
comercial,boca,redondo,9
experto,tactil,cuerpo,9
experto,boca,fruta,9
experto,boca,largo,9
experto,boca,tanino,9
consumidores,boca,acidez,8
comercial,tactil,acidez,8
comercial,tactil,cuerpo,8
comercial,boca,cuerpo,8
comercial,boca,equilibrado,8
comercial,boca,sedoso,8
experto,tactil,aspereza,8
experto,tactil,suavidad,8
experto,boca,acidez,8
consumidores,tactil,cuerpo,7
consumidores,boca,madera,7
comercial,boca,fresco,7
experto,tactil,sedosidad,7
experto,tactil,sequedad,7
experto,tactil,untuosidad,7
experto,boca,astringencia,7
experto,boca,frutal,7
experto,boca,sensación,7
consumidores,boca,afrutado,6
consumidores,boca,agradable,6
comercial,tactil,ligero,6
comercial,boca,final,6
comercial,boca,mucha,6
comercial,boca,suave,6
experto,tactil,tanicidad,6
experto,boca,agradable,6
experto,boca,cuerpo,6
experto,boca,entrada,6
experto,boca,estructura,6
experto,boca,suavidad,6
consumidores,tactil,astringencia,5
consumidores,tactil,densidad,5
consumidores,tactil,suavidad,5
comercial,tactil,deja,5
comercial,tactil,densidad,5
comercial,tactil,sabor,5
comercial,tactil,taninos,5
comercial,boca,agradable,5
comercial,boca,estructura,5
comercial,boca,medio,5
comercial,boca,persistente,5
comercial,boca,tanino,5
comercial,boca,taninos,5
experto,tactil,densidad,5
experto,boca,astringente,5
experto,boca,equilibrado,5
experto,boca,final,5
experto,boca,fresco,5
experto,boca,redondo,5
experto,boca,secante,5
experto,boca,tanicidad,5
consumidores,tactil,sensación,4
consumidores,boca,astringencia,4
consumidores,boca,astringente,4
consumidores,boca,vino,4
comercial,tactil,estructura,4
comercial,tactil,paladar,4
comercial,tactil,seda,4
comercial,tactil,suave,4
comercial,tactil,volumen,4
comercial,boca,aromas,4
comercial,boca,astringencia,4
comercial,boca,astringente,4
comercial,boca,barrica,4
comercial,boca,buena,4
comercial,boca,envolvente,4
comercial,boca,equilibrio,4
comercial,boca,madera,4
comercial,boca,madura,4
comercial,boca,notas,4
comercial,boca,paso,4
comercial,boca,roja,4
comercial,boca,sabores,4
comercial,boca,sensación,4
experto,tactil,acidez,4
experto,tactil,dulzor,4
experto,tactil,estructura,4
experto,tactil,redondez,4
experto,tactil,sedoso,4
experto,tactil,taninos,4
experto,tactil,terciopelo,4
experto,boca,alcohol,4
experto,boca,graso,4
experto,boca,paso,4
experto,boca,poca,4
experto,boca,sequedad,4
experto,boca,untuosidad,4
consumidores,tactil,acidez,3
consumidores,tactil,aspereza,3
consumidores,tactil,sabor,3
consumidores,boca,cuerpo,3
consumidores,boca,frescor,3
consumidores,boca,fuerte,3
consumidores,boca,paladar,3
consumidores,boca,placer,3
consumidores,boca,redondo,3
consumidores,boca,suave,3
comercial,tactil,aromas,3
comercial,tactil,equilibrio,3
comercial,tactil,grasa,3
comercial,tactil,sedosidad,3
comercial,tactil,sedoso,3
comercial,tactil,suavidad,3
comercial,tactil,tanino,3
comercial,tactil,temperatura,3
comercial,tactil,terciopelo,3
comercial,tactil,textura,3
comercial,boca,aterciopelado,3
comercial,boca,bajo,3
comercial,boca,dulce,3
comercial,boca,dulzor,3
comercial,boca,elegancia,3
comercial,boca,fácil,3
comercial,boca,frescura,3
comercial,boca,frutas,3
comercial,boca,goloso,3
comercial,boca,gran,3
comercial,boca,potente,3
comercial,boca,sabor,3
comercial,boca,sabroso,3
comercial,boca,suavidad,3
experto,tactil,graso,3
experto,tactil,largo,3
experto,tactil,longitud,3
experto,tactil,sabor,3
experto,tactil,tanino,3
experto,tactil,viscosidad,3
experto,boca,alcohólico,3
experto,boca,amplio,3
experto,boca,bien,3
experto,boca,buena,3
experto,boca,dulzor,3
experto,boca,glicerol,3
experto,boca,goloso,3
experto,boca,intenso,3
experto,boca,ligereza,3
experto,boca,ligero,3
experto,boca,madura,3
experto,boca,negra,3
experto,boca,notas,3
experto,boca,persistencia,3
experto,boca,sedoso,3
consumidores,tactil,aspero,2
consumidores,tactil,astringente,2
consumidores,tactil,espesura,2
consumidores,tactil,frescura,2
consumidores,tactil,liquido,2
consumidores,tactil,madera,2
consumidores,tactil,sabores,2
consumidores,tactil,taninos,2
consumidores,tactil,tinto,2
consumidores,boca,aroma,2
consumidores,boca,aspero,2
consumidores,boca,boca,2
consumidores,boca,buen,2
consumidores,boca,dulce,2
consumidores,boca,equilibrado,2
consumidores,boca,fruta,2
consumidores,boca,frutas,2
consumidores,boca,gusto,2
consumidores,boca,medio,2
consumidores,boca,redondez,2
consumidores,boca,taninos,2
comercial,tactil,adjetivos,2
comercial,tactil,aspereza,2
comercial,tactil,astringente,2
comercial,tactil,azúcar,2
comercial,tactil,características,2
comercial,tactil,cata,2
comercial,tactil,definir,2
comercial,tactil,denso,2
comercial,tactil,dulce,2
comercial,tactil,espeso,2
comercial,tactil,evoca,2
comercial,tactil,fluido,2
comercial,tactil,lado,2
comercial,tactil,lengua,2
comercial,tactil,peso,2
comercial,tactil,rugosidad,2
comercial,tactil,sabores,2
comercial,tactil,táctil,2
comercial,tactil,táctiles,2
comercial,tactil,tacto,2
comercial,tactil,tanicidad,2
comercial,tactil,untuosidad,2
comercial,tactil,veces,2
comercial,tactil,volúmen,2
comercial,boca,12,2
comercial,boca,afrutado,2
comercial,boca,agradables,2
comercial,boca,beber,2
comercial,boca,bien,2
comercial,boca,buen,2
comercial,boca,café,2
comercial,boca,cálido,2
comercial,boca,cereza,2
comercial,boca,color,2
comercial,boca,comida,2
comercial,boca,decir,2
comercial,boca,envejecido,2
comercial,boca,especias,2
comercial,boca,evolucionado,2
comercial,boca,glicérico,2
comercial,boca,integrada,2
comercial,boca,intenso,2
comercial,boca,ligero,2
comercial,boca,longevidad,2
comercial,boca,marcada,2
comercial,boca,media,2
comercial,boca,meses,2
comercial,boca,negra,2
